#   lon        lat
 -153.740     43.699
 -150.046     42.444
 -153.831     36.884
 -127.102     20.220
 -169.959     33.998
 -143.434     50.801
 -148.751     54.327
 -154.428     14.155
 -125.566     30.035
 -129.893     15.522
 -127.712     14.772
 -128.021     18.868
 -139.430     19.348
  179.277     21.778
 -105.453     12.135
 -103.658     13.884
 -151.240     37.409
 -104.875      2.606
 -110.910      4.882
  -93.714     10.161
  -98.000      7.174
  -98.067      9.741
 -110.037     12.654
 -106.168     15.256
 -130.253     40.386
 -126.703     46.675
  161.345     26.585
 -146.734     32.680
 -154.088     29.091
 -159.264     29.458
 -162.186     34.010
 -164.238     35.302
 -139.645     29.006
 -130.695     23.263
 -114.182      3.565
 -118.380     19.835
 -132.799     22.328
 -129.312     20.321
 -142.463     33.126
 -135.906     42.751
 -125.658     42.440
 -157.878     51.109
  165.023     48.827
  160.638     49.467
 -161.989     48.967
 -127.686     47.733
 -150.533     -2.637
 -128.936      0.331
 -141.367      4.943
 -156.689     53.582
  170.754     50.227
 -162.632     52.470
 -173.958     55.520
 -119.548     29.876
 -116.271     24.670
 -117.538     23.223
 -108.974     23.827
 -108.659     20.872
 -105.487     16.457
 -124.509     32.029
 -123.463     32.328
  139.873      7.474
 -177.846      1.692
  133.351      2.961
 -172.010     -0.472
  169.138     33.912
 -153.377     28.574
 -170.722     40.655
 -128.850     30.841
 -135.019     36.606
 -148.366     33.773
 -151.411     29.184
  174.795     38.845
 -158.353     41.780
 -142.784     55.757
 -142.435     54.501
 -142.475     54.414
 -132.921     51.646
 -135.044     53.282
 -157.107     53.849
 -177.741     48.864
  164.124     51.165
 -135.236     53.644
 -133.071     50.254
 -145.015     48.038
 -136.999     47.161
 -132.432     44.359
 -140.923     50.149
  160.724    -47.058
 -141.176     47.596
 -153.963     50.118
 -133.369     51.749
 -135.982     51.350
 -133.324     50.246
 -139.469     48.067
 -152.869     44.118
 -179.231     34.812
 -178.258     31.570
  177.866     30.041
  178.565     58.886
  173.123     60.378
 -153.301      6.227
 -164.437     15.394
 -149.644     17.909
 -153.333     31.900
 -147.742     49.078
 -165.433     49.970
 -158.430     52.684
 -147.276     55.139
  175.222     59.160
  176.326     58.731
 -132.188     35.157
 -107.826     -4.186
 -131.884      6.652
  -96.943      4.111
  -91.326      5.150
  164.822     49.057
 -174.024     49.231
 -169.351     49.348
 -137.979     57.806
 -170.532     54.256
 -174.292     56.629
 -125.535     40.744
 -125.024     41.682
 -104.802     14.495
 -104.998     12.997
 -105.207     10.998
 -105.409      8.981
 -105.606      7.005
 -122.998     32.368
 -179.838     30.529
 -166.446     29.666
 -164.889     41.424
 -161.293     31.290
 -164.623     39.066
 -164.227     37.674
 -165.667     43.377
 -163.364     34.967
 -165.360     50.977
 -102.368    -10.315
 -102.987    -12.685
 -103.146    -15.650
 -101.880    -17.104
 -108.432     20.975
 -106.693     18.494
 -140.192      1.957
 -140.082      0.202
 -108.019     18.653
 -167.571     12.278
 -126.898     13.382
 -129.856      7.789
 -126.825     12.114
 -146.294      8.667
  170.280     -7.173
 -172.801      9.879
 -136.959     12.757
 -160.430    -16.492
 -173.402    -13.188
 -162.307     17.324
 -156.840    -14.198
 -126.409     -9.920
 -105.589     -6.497
 -116.940     14.680
  178.143     12.063
 -179.094     10.904
  174.636     11.855
 -174.329     13.584
 -168.681     -3.344
  146.984     -2.430
  137.119      4.205
  157.489     15.396
  174.537    -14.612
  141.188     21.993
 -176.923      9.535
 -145.088     20.486
 -173.400     16.523
 -138.198     13.092
 -113.542     12.333
 -107.154      9.009
 -178.554     -6.321
  162.942    -15.384
  171.144    -10.741
  169.795     15.506
  153.195      6.908
  155.281     12.987
 -174.099    -10.388
 -177.293     17.751
  138.754     19.197
  167.904     11.640
  148.633      9.978
 -159.951      8.667
  177.685     25.446
 -150.115     11.753
 -159.346     43.852
 -179.432    -12.874
  162.898    -28.827
  -86.410    -51.516
 -137.397    -38.078
  146.510     10.884
  129.341     12.896
 -127.867    -43.899
  166.199    -35.719
 -171.725    -14.344
 -169.383     -5.506
  157.245    -16.888
  163.597     -6.014
 -155.364    -12.152
 -174.498      8.653
 -171.860      3.311
  159.834     16.337
 -178.325     -8.476
 -151.740    -15.819
 -170.989     10.763
 -166.022    -11.622
  165.057     -4.043
  163.894     14.137
 -145.187      8.860
 -164.267    -14.433
  132.914     10.199
  162.002     18.196
  162.716    -16.209
  173.959     12.328
 -160.832      7.973
  126.946     22.719
  155.049    -13.129
  168.107     10.203
 -148.739      7.925
 -173.436    -18.693
  166.516    -14.604
  169.416    -21.565
  166.650      7.062
  163.495      4.680
  161.058     -0.619
  169.030     -5.558
 -170.975     20.148
  158.775     13.775
 -154.837    -23.294
 -177.224      8.148
 -122.887     10.243
 -123.264     12.491
 -153.659     17.636
  172.416     20.092
  178.127    -12.519
 -136.338     25.279
  130.330      5.470
  176.561      2.031
 -156.024     -8.773
 -126.503      0.427
 -154.035     12.011
 -151.491     12.471
 -179.970     -6.808
 -141.289     21.805
 -155.718     22.668
  -93.445     -2.067
 -173.758     -3.409
 -123.429     -2.523
 -138.428    -44.204
 -138.969    -43.229
 -114.282    -52.087
 -146.654    -47.367
 -122.665    -46.491
  130.894      0.933
 -105.025    -58.064
 -133.668    -60.848
  176.770    -41.433
  159.853    -52.402
  158.763    -52.919
  161.079    -36.853
 -166.739    -50.850
 -136.629    -57.466
 -159.848    -58.485
 -145.378    -50.912
 -157.186    -49.950
 -136.353     -7.703
  154.944    -36.329
  157.565    -44.248
 -169.377    -41.138
 -174.731    -34.858
 -178.090    -32.909
 -171.338    -32.072
 -168.108    -31.573
 -159.145    -34.078
 -157.103    -34.134
 -146.956    -36.622
 -149.284    -37.141
 -143.891    -38.460
 -137.680    -36.894
 -137.490    -38.817
 -133.272    -34.821
 -130.205    -34.722
 -123.316    -29.444
 -133.004    -35.473
 -136.535    -29.986
 -137.910    -26.855
 -143.003    -25.572
 -142.172    -23.352
 -143.543    -23.080
 -142.820    -18.758
 -133.705    -14.719
 -141.217    -16.275
 -139.826    -14.101
 -138.994    -13.809
 -141.880    -11.246
 -143.546    -10.006
 -154.073    -10.797
 -154.557    -14.820
 -154.466    -17.350
 -143.036    -10.565
 -159.941    -21.059
 -158.469    -21.715
 -165.848    -26.034
 -169.458    -22.980
 -167.194    -22.819
 -172.646    -30.088
 -170.677    -26.230
 -177.161    -22.900
 -175.323    -27.435
 -173.388    -36.650
 -176.694    -38.806
 -173.338    -44.890
 -175.066    -45.974
  168.019    -51.647
 -169.855    -24.245
  149.391    -49.349
  163.405    -51.495
 -132.068    -50.838
 -150.372    -49.575
  166.278    -37.940
  158.127    -42.205
  149.519    -40.376
 -164.589    -38.073
 -158.540    -31.607
 -160.398    -30.620
 -162.659    -26.001
 -171.379    -32.864
 -173.452    -40.609
 -157.750    -34.023
 -172.776    -31.169
  153.529    -43.912
  159.913    -43.899
 -171.212     20.222
 -173.890     20.390
  172.935     19.199
  171.265     17.193
  164.246     14.751
  158.358     17.096
  156.506     13.434
  152.544     12.118
  153.151     13.653
  146.558     10.853
  136.837     10.223
 -112.820    -63.249
 -176.575    -20.189
 -175.882    -24.519
  164.321    -41.195
 -113.254    -52.360
 -155.745    -63.037
 -135.835    -58.943
 -157.216    -52.661
 -116.127    -58.909
 -118.288    -38.671
 -150.679    -54.191
  151.056    -41.743
 -140.365    -33.424
 -154.728    -37.117
  -90.885    -36.734
 -147.164    -43.442
  -86.457    -42.617
  -88.243    -38.299
 -124.084    -46.024
 -152.495    -37.230
 -165.351    -25.940
 -161.687    -32.644
 -160.391    -35.072
 -178.207    -42.300
 -142.414    -24.317
  172.841    -28.946
 -153.546    -22.912
 -133.687    -35.717
 -109.182    -34.073
  -98.330    -25.844
  -91.889    -28.166
  -85.663    -32.384
 -116.898    -18.199
  163.175    -18.471
  -99.442    -18.446
  165.068    -10.173
 -106.854    -15.715
  150.504    -39.281
 -165.181    -16.674
 -146.971    -19.121
 -144.795    -13.075
  179.150     -9.947
 -174.896    -12.392
 -179.957    -13.457
 -133.243    -12.130
 -126.007    -13.322
 -157.538    -10.423
 -173.101    -12.269
 -136.663    -13.864
 -109.740    -17.094
 -123.280    -14.088
 -134.162    -20.246
 -135.585    -23.025
 -135.017    -20.711
  136.030      4.227
  152.001     -2.764
 -167.123     20.301
 -168.903     -8.465
 -150.420     19.467
 -153.920     21.516
 -117.775    -43.886
  175.250    -23.942
 -171.621    -41.302
 -168.092    -48.557
 -123.204    -35.904
 -123.396    -34.408
 -113.743    -39.112
 -137.259    -34.389
 -150.379    -26.613
 -154.126    -29.684
 -107.089    -56.303
 -175.306    -34.173
 -153.080     27.629
 -174.157      3.897
  149.363     -0.835
 -147.627      0.798
  162.870     -0.647
 -172.479     33.392
  175.302     52.032
 -163.052     30.330
 -160.754     33.822
 -141.860      2.872
 -121.667     -1.603
 -107.276     -1.960
 -125.946      3.026
 -179.636      2.062
 -140.738     19.533
 -149.634     12.109
 -150.484      1.853
 -110.587     -0.976
 -131.105     36.140
 -170.772    -19.342
 -162.053    -17.959
  169.913    -20.542
 -150.194    -16.427
  172.943    -27.987
  159.902    -16.543
 -125.366    -17.781
 -103.197    -20.611
  177.694    -16.291
 -120.354    -17.415
 -126.350    -11.983
  175.044    -22.054
  156.269    -14.723
 -134.154    -12.291
 -147.767     34.634
 -134.355     35.167
 -138.884     30.193
 -143.517     30.359
 -133.414     34.936
 -126.676     43.029
 -140.732     32.171
 -141.525     30.951
 -149.799     32.655
 -143.256     32.992
 -146.791     26.661
 -157.839     22.583
  132.162      1.070
  139.317     -0.296
  159.390    -12.353
  154.481    -37.409
  146.005    -45.010
 -131.192    -44.228
  159.320    -36.648
 -110.944    -61.765
  -82.317    -64.371
 -120.852    -49.972
  152.824    -13.274
  161.160    -38.158
  149.403    -47.339
  149.868    -46.713
  159.346    -23.464
 -159.419    -48.218
 -143.641    -42.620
  -97.480    -58.700
  170.782    -60.679
 -107.213    -51.215
 -167.488    -60.265
 -142.405    -55.448
  161.080    -56.726
 -111.476    -50.057
 -132.779    -54.784
  159.207    -27.453
 -160.228     -4.547
  169.292    -10.552
  174.557    -11.006
  159.022     -3.428
  155.739    -12.665
  164.361    -68.324
 -160.326    -67.385
 -166.594     20.151
 -129.654     28.171
 -134.495     23.474
 -131.106     27.888
 -152.291     25.937
 -158.377     24.568
  -98.517    -30.878
 -162.500    -16.629
 -138.629    -12.388
  161.865    -28.881
  175.294    -28.610
  179.414    -24.877
  175.819    -42.919
  158.386    -31.371
  155.583    -23.358
  166.352    -23.961
  175.727    -26.558
 -134.716      0.661
 -123.666     -1.788
 -175.057     30.378
 -163.069     20.265
 -171.139     25.125
  176.787     24.033
  176.871     26.991
  176.997     28.043
  145.765     19.478
 -153.934    -45.034
  -86.212    -58.419
 -136.944    -48.532
 -148.246    -48.199
 -110.349    -53.395
 -110.800    -48.810
  -80.751    -55.486
  174.842    -45.391
 -175.713      6.129
  177.338      7.664
  157.021    -12.598
 -179.025     -5.533
 -171.906     -4.664
 -153.308    -10.335
  171.668     23.335
 -163.130     18.386
  175.871     38.013
 -178.867     25.649
  158.282     20.320
  -98.854      3.358
  -87.274      4.572
 -119.179     -0.167
 -102.460      1.569
  165.491      2.796
  161.151      2.437
 -120.905      0.525
  156.094    -63.272
 -150.822    -44.044
  168.123    -58.386
  177.692    -47.108
 -140.133    -48.459
 -144.882     22.534
 -107.607     -2.341
 -105.143     -0.285
  -96.393     10.946
 -123.767      1.115
  153.858     -1.902
 -138.746     10.152
 -128.023      4.813
  144.272     -1.015
  -98.856    -56.087
 -164.450    -47.692
 -114.467    -64.844
  -87.660    -63.118
 -155.040    -43.788
 -146.778    -46.657
 -135.016     51.690
 -102.528    -41.142
  -81.569    -36.466
  -94.434    -44.430
 -136.780    -42.821
 -131.727    -47.850
 -154.688    -40.564
 -149.316    -40.188
  -94.911    -37.653
 -105.999    -43.728
  -94.679    -40.630
  -84.772    -37.986
 -115.056    -24.005
 -131.099    -45.817
 -145.007    -46.245
  170.458    -33.142
 -153.949    -44.027
  -99.720    -62.060
 -163.806    -62.535
 -139.057    -49.599
 -168.120    -56.039
  153.950    -40.741
  153.472    -34.094
 -151.630    -51.612
 -128.939    -57.812
 -104.823    -63.310
  -87.545    -58.204
 -109.475    -63.094
  153.248    -44.484
  162.589     -9.566
  156.384     -8.915
 -113.212    -43.402
  -84.953    -42.472
 -162.188    -44.116
 -117.796    -48.146
  -79.473    -34.097
 -132.456    -29.480
 -110.736    -39.905
  -97.716    -41.014
 -102.478    -38.771
  -96.366    -45.359
 -120.999    -22.635
 -156.458    -46.255
 -158.712    -44.763
 -122.125    -25.666
 -150.946    -42.224
 -149.104    -27.442
 -137.458    -28.611
 -148.772    -37.297
 -171.614    -38.741
  -89.621    -27.154
  -76.663    -29.364
 -119.761     30.876
  162.209     38.119
  175.187     32.795
 -177.433      2.985
 -175.220      3.618
 -143.622     -0.187
 -143.081     -1.519
 -177.298      1.611
 -175.858      0.689
 -161.603     49.762
  127.466      2.389
  147.983      2.520
 -154.008     55.366
 -167.687     23.230
 -178.890     22.247
  175.906      6.137
 -179.293      5.354
 -140.364    -41.085
 -135.466    -38.332
 -130.180    -25.786
 -132.964    -28.393
 -150.941    -30.149
 -152.600    -30.040
 -163.276    -39.469
 -176.786    -40.768
 -134.423    -23.562
 -150.091    -29.185
 -159.450    -30.218
 -161.197     24.127
  159.004    -62.496
 -138.585    -57.980
  -82.590    -54.308
 -170.499    -62.686
 -129.004     31.250
 -136.285     42.415
  157.899    -39.859
  166.558    -39.717
  153.330    -16.107
  163.380    -18.437
  148.279    -44.957
  175.662    -22.358
  177.119    -15.181
  163.469    -26.383
 -146.697     51.980
 -160.428     36.024
 -172.369    -40.414
  176.727    -69.406
 -164.853    -77.440
  -76.253    -65.048
 -162.638    -77.222
  179.075    -72.740
 -134.063    -70.219
 -150.807    -65.273
 -155.866    -71.682
 -149.236    -69.735
 -134.539    -71.062
 -148.588    -64.096
 -152.095    -70.135
 -130.270    -70.216
 -172.612    -77.348
 -159.500    -70.231
 -166.028    -56.847
 -154.395    -64.152
 -148.088    -70.195
 -145.847    -59.335
 -103.206    -64.156
 -165.337    -39.148
 -127.987    -53.036
  161.875      2.908
  178.732     -0.339
 -113.487    -56.587
 -132.148    -58.926
 -116.840    -65.917
 -156.836    -56.079
 -150.859    -58.746
 -173.440    -50.404
 -158.759    -60.574
 -134.661    -52.170
 -146.472    -56.837
 -157.346    -62.923
  171.076    -47.823
 -135.843    -56.742
 -160.698    -55.185
 -167.464    -57.447
 -164.375    -45.183
  169.629    -10.926
  172.178    -11.086
  172.332    -12.823
  158.235    -12.232
  154.041     -5.469
  148.478    -12.740
  164.371    -38.553
  154.707    -33.528
  164.548    -40.774
  165.558    -35.804
  165.430    -34.770
 -174.575    -49.081
 -141.298    -56.165
 -155.130      6.528
 -172.294     14.611
 -159.264      3.700
 -110.854      1.262
 -106.185     -2.159
 -132.161      1.116
 -115.286     -1.677
 -138.722      0.271
  170.699      2.673
 -133.501     21.779
 -127.548     42.502
 -163.998      6.786
 -149.751      0.911
 -165.640     -0.664
 -110.071     -1.842
  -95.426      0.254
 -109.811      1.599
  169.040      8.620
  140.362      6.084
  -96.912      2.087
 -176.551      1.714
  166.145     -3.018
 -164.430      3.973
 -113.713      0.875
  166.579     16.008
 -161.036     -2.155
  161.121    -36.845
